userId,activityId,rate
72,31,0
146,40,1
131,68,4
86,17,4
286,59,4
230,63,5
171,12,3
4,51,5
128,10,5
198,92,4
105,41,5
247,100,4
52,93,0
53,2,5
268,81,5
28,78,5
31,95,5
155,34,5
136,4,0
167,100,5
198,16,2
141,75,5
184,66,4
258,64,0
65,57,5
7,52,4
52,73,1
217,96,2
68,44,4
247,26,5
99,52,4
134,16,2
133,7,2
38,74,0
44,22,4
299,86,1
281,61,4
72,78,3
90,5,5
269,84,5
138,93,1
263,21,2
145,17,4
14,99,0
197,76,1
160,69,5
143,66,5
168,1,1
41,27,0
280,10,1
201,46,0
29,30,2
90,5,3
298,92,2
97,49,5
251,13,1
184,38,1
139,74,0
3,67,3
112,58,5
284,27,3
54,83,0
257,14,5
47,30,0
62,12,5
115,51,4
32,65,5
188,18,5
93,75,4
279,67,1
261,1,1
186,26,0
256,92,1
255,64,3
44,94,2
17,52,0
95,91,2
280,47,2
123,78,0
83,4,2
258,65,5
132,31,0
285,64,1
56,84,0
183,66,2
243,100,1
11,67,0
241,87,3
182,79,5
173,74,2
184,57,2
158,10,2
180,93,3
263,86,2
277,5,2
267,88,0
231,51,5
265,65,5
278,62,0
99,13,2
300,39,1
117,94,0
252,8,4
280,26,3
121,11,5
21,69,3
181,33,5
217,88,4
34,1,4
199,43,2
47,76,3
16,35,3
30,11,2
131,31,2
288,7,3
158,2,4
204,77,4
253,25,1
117,13,5
204,82,5
102,40,1
201,59,0
137,66,4
291,33,4
62,14,0
45,94,0
10,37,0
226,16,3
10,67,4
225,80,2
131,78,4
163,60,4
182,63,4
142,53,1
252,80,5
300,72,3
38,14,0
192,21,5
194,94,2
78,10,3
53,7,1
19,25,4
17,44,0
110,58,4
258,88,1
194,81,0
185,78,5
253,48,1
266,28,3
55,25,2
115,86,4
204,19,3
245,2,2
285,53,2
266,1,0
276,56,1
242,71,0
35,26,0
161,43,4
91,88,0
54,37,5
173,88,4
211,66,4
231,40,0
254,83,2
17,35,4
278,66,1
177,35,2
165,53,5
224,39,5
139,88,3
105,42,2
271,17,2
240,34,0
275,74,2
234,28,3
159,89,2
132,83,4
217,8,3
121,48,1
32,91,1
283,18,2
236,18,5
186,18,4
185,21,2
35,8,2
64,62,0
34,88,4
183,70,4
64,73,3
125,80,2
21,2,0
50,78,4
126,40,2
102,39,2
222,40,1
145,91,0
206,75,1
30,89,3
181,11,2
32,77,5
282,73,4
1,7,0
112,95,4
48,4,3
284,91,3
251,36,5
298,14,1
6,63,4
43,29,3
65,53,5
46,78,3
55,80,2
102,97,5
163,28,3
22,90,0
268,95,0
231,87,2
213,58,1
90,23,2
146,57,4
7,65,4
231,14,5
233,98,0
114,81,0
42,13,0
182,34,5
92,2,3
167,93,4
272,86,1
88,22,0
102,96,1
193,64,2
85,76,3
79,40,4
244,88,4
148,52,3
201,12,5
85,17,0
264,4,4
295,66,0
184,64,3
60,14,0
227,8,1
130,56,1
23,9,4
44,34,1
285,16,0
97,30,3
15,87,2
111,43,0
89,16,2
277,15,5
121,89,4
198,21,1
137,76,5
119,67,3
172,25,2
34,30,5
48,75,0
23,30,4
160,82,5
48,55,5
16,7,3
114,65,2
231,20,2
44,67,4
43,40,5
238,26,0
118,85,1
46,95,4
255,10,2
85,83,2
258,48,4
268,3,3
94,8,4
160,77,4
246,36,2
171,58,4
76,27,3
109,98,0
74,67,4
136,50,3
99,12,4
251,39,2
282,83,1
16,94,1
83,24,5
132,35,2
152,12,1
271,51,5
15,89,0
90,48,1
22,14,3
116,62,4
113,14,0
278,79,4
19,47,1
221,41,2
232,57,0
197,69,0
207,31,1
216,33,2
222,17,0
90,31,2
145,23,0
237,65,2
226,31,4
108,41,5
254,30,2
136,5,4
48,30,5
39,75,1
195,2,3
146,52,4
216,54,5
147,10,0
96,48,3
7,85,2
66,79,5
100,24,1
22,64,1
250,45,0
98,62,3
35,81,0
165,67,5
14,12,0
21,90,3
143,100,1
118,20,1
299,71,5
149,70,4
261,48,0
271,27,4
150,64,2
240,11,0
279,52,3
183,90,5
13,20,3
72,23,1
118,93,1
49,44,5
48,13,2
291,100,0
97,36,5
223,29,2
276,4,5
93,93,3
171,25,4
3,98,1
213,30,5
228,60,0
284,1,2
154,95,2
170,89,4
9,73,1
152,61,3
118,23,0
215,21,4
135,8,2
32,13,0
240,66,2
180,66,1
214,49,0
116,21,2
56,45,0
71,76,2
140,89,0
184,62,5
140,15,1
91,93,5
22,51,5
225,54,1
200,64,5
148,92,5
53,6,2
91,21,5
42,66,3
57,60,2
202,77,2
42,3,0
210,93,1
249,16,2
62,49,2
221,81,3
260,13,3
213,43,5
244,28,3
185,97,0
285,7,0
293,21,1
29,57,0
26,60,3
169,84,0
176,70,1
4,15,1
256,12,5
253,85,0
54,71,1
83,43,0
82,57,3
95,46,4
19,82,1
127,7,0
51,26,1
269,68,2
